Exposure_dose_ug_per_ml,Surface_area_m2g,Formation_enthalpy_eV,Exposure_time_hr,Toxicity
0.0,89.01,-9.779,24.0,0
4.0,89.01,-9.779,24.0,0
8.0,89.01,-9.779,24.0,0
16.0,89.01,-9.779,24.0,0
32.0,89.01,-9.779,24.0,0
64.0,89.01,-9.779,24.0,0
0.0,89.01,-9.779,24.0,0
4.0,89.01,-9.779,24.0,0
8.0,89.01,-9.779,24.0,0
16.0,89.01,-9.779,24.0,0
32.0,89.01,-9.779,24.0,0
64.0,89.01,-9.779,24.0,0
0.0,17.6,-3.608,24.0,0
4.0,17.6,-3.608,24.0,0
8.0,17.6,-3.608,24.0,0
16.0,17.6,-3.608,24.0,0
32.0,17.6,-3.608,24.0,1
64.0,17.6,-3.608,24.0,1
0.0,17.6,-3.608,24.0,0
4.0,17.6,-3.608,24.0,0
8.0,17.6,-3.608,24.0,0
16.0,17.6,-3.608,24.0,0
32.0,17.6,-3.608,24.0,1
64.0,17.6,-3.608,24.0,1
1.0,17.2,-1.609,24.0,0
5.0,17.2,-1.609,24.0,0
10.0,17.2,-1.609,24.0,0
15.0,17.2,-1.609,24.0,0
17.5,17.2,-1.609,24.0,0
1.0,46.0,-9.779,24.0,0
7.5,46.0,-9.779,24.0,0
25.0,46.0,-9.779,24.0,0
0.0,56.0,-11.59,24.0,0
100.0,56.0,-11.59,24.0,0
200.0,56.0,-11.59,24.0,0
400.0,56.0,-11.59,24.0,0
600.0,56.0,-11.59,24.0,0
0.0,56.0,-11.59,24.0,0
100.0,56.0,-11.59,24.0,0
200.0,56.0,-11.59,24.0,0
400.0,56.0,-11.59,24.0,0
600.0,56.0,-11.59,24.0,0
0.0,29.96,-9.779,48.0,0
10.0,29.96,-9.779,48.0,0
46.4,29.96,-9.779,48.0,0
100.0,29.96,-9.779,48.0,0
0.0,29.96,-9.779,48.0,0
10.0,29.96,-9.779,48.0,0
46.4,29.96,-9.779,48.0,0
100.0,29.96,-9.779,48.0,0
0.0,236.4066194,-9.779,24.0,0
25.0,236.4066194,-9.779,24.0,0
50.0,236.4066194,-9.779,24.0,0
100.0,236.4066194,-9.779,24.0,0
200.0,236.4066194,-9.779,24.0,0
400.0,236.4066194,-9.779,24.0,0
800.0,236.4066194,-9.779,24.0,0
0.0,146.0,-9.779,24.0,0
15.0,146.0,-9.779,24.0,0
30.0,146.0,-9.779,24.0,0
60.0,146.0,-9.779,24.0,0
120.0,146.0,-9.779,24.0,0
0.0,61.0,-9.779,24.0,0
15.0,61.0,-9.779,24.0,0
30.0,61.0,-9.779,24.0,0
60.0,61.0,-9.779,24.0,0
120.0,61.0,-9.779,24.0,0
0.0,41.0,-9.779,24.0,0
15.0,41.0,-9.779,24.0,0
30.0,41.0,-9.779,24.0,0
60.0,41.0,-9.779,24.0,0
120.0,41.0,-9.779,24.0,1
0.0,61.0,-9.779,24.0,0
15.0,61.0,-9.779,24.0,0
30.0,61.0,-9.779,24.0,0
60.0,61.0,-9.779,24.0,0
120.0,61.0,-9.779,24.0,0
0.0,55.0,-9.779,24.0,0
15.0,55.0,-9.779,24.0,0
30.0,55.0,-9.779,24.0,0
60.0,55.0,-9.779,24.0,0
120.0,55.0,-9.779,24.0,1
1.0,30.6,-8.91,24.0,0
5.0,30.6,-8.91,24.0,0
10.0,30.6,-8.91,24.0,0
25.0,30.6,-8.91,24.0,0
75.0,30.6,-8.91,24.0,0
100.0,30.6,-8.91,24.0,0
250.0,30.6,-8.91,24.0,0
1.0,30.6,-8.91,48.0,0
5.0,30.6,-8.91,48.0,0
10.0,30.6,-8.91,48.0,0
25.0,30.6,-8.91,48.0,0
75.0,30.6,-8.91,48.0,1
100.0,30.6,-8.91,48.0,1
250.0,30.6,-8.91,48.0,1
1.0,30.6,-8.91,72.0,0
5.0,30.6,-8.91,72.0,0
10.0,30.6,-8.91,72.0,0
25.0,30.6,-8.91,72.0,1
75.0,30.6,-8.91,72.0,1
100.0,30.6,-8.91,72.0,1
250.0,30.6,-8.91,72.0,1
1.0,19.6,-8.91,24.0,0
5.0,19.6,-8.91,24.0,0
10.0,19.6,-8.91,24.0,0
25.0,19.6,-8.91,24.0,0
75.0,19.6,-8.91,24.0,0
100.0,19.6,-8.91,24.0,0
250.0,19.6,-8.91,24.0,0
1.0,19.6,-8.91,48.0,0
5.0,19.6,-8.91,48.0,0
10.0,19.6,-8.91,48.0,0
25.0,19.6,-8.91,48.0,0
75.0,19.6,-8.91,48.0,1
100.0,19.6,-8.91,48.0,1
250.0,19.6,-8.91,48.0,1
1.0,19.6,-8.91,72.0,0
5.0,19.6,-8.91,72.0,0
10.0,19.6,-8.91,72.0,0
25.0,19.6,-8.91,72.0,1
75.0,19.6,-8.91,72.0,1
100.0,19.6,-8.91,72.0,1
250.0,19.6,-8.91,72.0,1
1.0,9.3,-8.91,24.0,0
5.0,9.3,-8.91,24.0,0
10.0,9.3,-8.91,24.0,0
25.0,9.3,-8.91,24.0,0
75.0,9.3,-8.91,24.0,0
100.0,9.3,-8.91,24.0,0
250.0,9.3,-8.91,24.0,0
1.0,9.3,-8.91,48.0,0
5.0,9.3,-8.91,48.0,0
10.0,9.3,-8.91,48.0,0
25.0,9.3,-8.91,48.0,1
75.0,9.3,-8.91,48.0,1
100.0,9.3,-8.91,48.0,1
250.0,9.3,-8.91,48.0,1
1.0,9.3,-8.91,72.0,0
5.0,9.3,-8.91,72.0,0
10.0,9.3,-8.91,72.0,0
25.0,9.3,-8.91,72.0,1
75.0,9.3,-8.91,72.0,1
100.0,9.3,-8.91,72.0,1
250.0,9.3,-8.91,72.0,1
1.0,36.0,-8.91,24.0,0
5.0,36.0,-8.91,24.0,0
10.0,36.0,-8.91,24.0,0
25.0,36.0,-8.91,24.0,0
75.0,36.0,-8.91,24.0,0
100.0,36.0,-8.91,24.0,0
250.0,36.0,-8.91,24.0,0
1.0,36.0,-8.91,48.0,0
5.0,36.0,-8.91,48.0,0
10.0,36.0,-8.91,48.0,0
25.0,36.0,-8.91,48.0,0
75.0,36.0,-8.91,48.0,1
100.0,36.0,-8.91,48.0,1
250.0,36.0,-8.91,48.0,1
1.0,36.0,-8.91,72.0,0
5.0,36.0,-8.91,72.0,0
10.0,36.0,-8.91,72.0,0
25.0,36.0,-8.91,72.0,0
75.0,36.0,-8.91,72.0,1
100.0,36.0,-8.91,72.0,1
250.0,36.0,-8.91,72.0,1
1.0,40.0,-8.91,24.0,0
5.0,40.0,-8.91,24.0,0
10.0,40.0,-8.91,24.0,0
25.0,40.0,-8.91,24.0,0
75.0,40.0,-8.91,24.0,0
100.0,40.0,-8.91,24.0,0
250.0,40.0,-8.91,24.0,0
1.0,40.0,-8.91,48.0,0
5.0,40.0,-8.91,48.0,0
10.0,40.0,-8.91,48.0,0
25.0,40.0,-8.91,48.0,1
75.0,40.0,-8.91,48.0,1
100.0,40.0,-8.91,48.0,1
250.0,40.0,-8.91,48.0,1
1.0,40.0,-8.91,72.0,0
5.0,40.0,-8.91,72.0,0
10.0,40.0,-8.91,72.0,1
25.0,40.0,-8.91,72.0,1
75.0,40.0,-8.91,72.0,1
100.0,40.0,-8.91,72.0,1
250.0,40.0,-8.91,72.0,1
1.0,28.9,-8.91,24.0,0
5.0,28.9,-8.91,24.0,0
10.0,28.9,-8.91,24.0,0
25.0,28.9,-8.91,24.0,0
75.0,28.9,-8.91,24.0,0
100.0,28.9,-8.91,24.0,0
250.0,28.9,-8.91,24.0,0
1.0,28.9,-8.91,48.0,0
5.0,28.9,-8.91,48.0,0
10.0,28.9,-8.91,48.0,0
25.0,28.9,-8.91,48.0,1
75.0,28.9,-8.91,48.0,1
100.0,28.9,-8.91,48.0,1
250.0,28.9,-8.91,48.0,1
1.0,28.9,-8.91,72.0,0
5.0,28.9,-8.91,72.0,0
10.0,28.9,-8.91,72.0,0
25.0,28.9,-8.91,72.0,1
75.0,28.9,-8.91,72.0,1
100.0,28.9,-8.91,72.0,1
250.0,28.9,-8.91,72.0,1
1.0,29.4,-8.91,24.0,0
5.0,29.4,-8.91,24.0,0
10.0,29.4,-8.91,24.0,0
25.0,29.4,-8.91,24.0,0
75.0,29.4,-8.91,24.0,0
100.0,29.4,-8.91,24.0,0
250.0,29.4,-8.91,24.0,0
1.0,29.4,-8.91,48.0,0
5.0,29.4,-8.91,48.0,0
10.0,29.4,-8.91,48.0,0
25.0,29.4,-8.91,48.0,1
75.0,29.4,-8.91,48.0,1
100.0,29.4,-8.91,48.0,1
250.0,29.4,-8.91,48.0,1
1.0,29.4,-8.91,72.0,0
5.0,29.4,-8.91,72.0,0
10.0,29.4,-8.91,72.0,0
25.0,29.4,-8.91,72.0,1
75.0,29.4,-8.91,72.0,1
100.0,29.4,-8.91,72.0,1
250.0,29.4,-8.91,72.0,1
1.0,30.7,-8.91,24.0,0
5.0,30.7,-8.91,24.0,0
10.0,30.7,-8.91,24.0,0
25.0,30.7,-8.91,24.0,0
75.0,30.7,-8.91,24.0,0
100.0,30.7,-8.91,24.0,0
250.0,30.7,-8.91,24.0,0
1.0,30.7,-8.91,48.0,0
5.0,30.7,-8.91,48.0,0
10.0,30.7,-8.91,48.0,0
25.0,30.7,-8.91,48.0,1
75.0,30.7,-8.91,48.0,1
100.0,30.7,-8.91,48.0,1
250.0,30.7,-8.91,48.0,1
1.0,30.7,-8.91,72.0,0
5.0,30.7,-8.91,72.0,0
10.0,30.7,-8.91,72.0,0
25.0,30.7,-8.91,72.0,1
75.0,30.7,-8.91,72.0,1
100.0,30.7,-8.91,72.0,1
250.0,30.7,-8.91,72.0,1
1.0,30.6,-8.91,24.0,0
5.0,30.6,-8.91,24.0,0
10.0,30.6,-8.91,24.0,0
25.0,30.6,-8.91,24.0,0
75.0,30.6,-8.91,24.0,1
100.0,30.6,-8.91,24.0,1
250.0,30.6,-8.91,24.0,1
1.0,30.6,-8.91,48.0,0
5.0,30.6,-8.91,48.0,0
10.0,30.6,-8.91,48.0,0
25.0,30.6,-8.91,48.0,1
75.0,30.6,-8.91,48.0,1
100.0,30.6,-8.91,48.0,1
250.0,30.6,-8.91,48.0,1
1.0,30.6,-8.91,72.0,0
5.0,30.6,-8.91,72.0,0
10.0,30.6,-8.91,72.0,0
25.0,30.6,-8.91,72.0,1
75.0,30.6,-8.91,72.0,1
100.0,30.6,-8.91,72.0,1
250.0,30.6,-8.91,72.0,1
1.0,19.6,-8.91,24.0,0
5.0,19.6,-8.91,24.0,0
10.0,19.6,-8.91,24.0,0
25.0,19.6,-8.91,24.0,0
75.0,19.6,-8.91,24.0,0
100.0,19.6,-8.91,24.0,0
250.0,19.6,-8.91,24.0,0
1.0,19.6,-8.91,48.0,0
5.0,19.6,-8.91,48.0,0
10.0,19.6,-8.91,48.0,0
25.0,19.6,-8.91,48.0,1
75.0,19.6,-8.91,48.0,1
100.0,19.6,-8.91,48.0,1
250.0,19.6,-8.91,48.0,1
1.0,19.6,-8.91,72.0,0
5.0,19.6,-8.91,72.0,0
10.0,19.6,-8.91,72.0,0
25.0,19.6,-8.91,72.0,1
75.0,19.6,-8.91,72.0,1
100.0,19.6,-8.91,72.0,1
250.0,19.6,-8.91,72.0,1
1.0,9.3,-8.91,24.0,0
5.0,9.3,-8.91,24.0,0
10.0,9.3,-8.91,24.0,0
25.0,9.3,-8.91,24.0,0
75.0,9.3,-8.91,24.0,0
100.0,9.3,-8.91,24.0,0
250.0,9.3,-8.91,24.0,0
1.0,9.3,-8.91,48.0,0
5.0,9.3,-8.91,48.0,0
10.0,9.3,-8.91,48.0,0
25.0,9.3,-8.91,48.0,0
75.0,9.3,-8.91,48.0,1
100.0,9.3,-8.91,48.0,1
250.0,9.3,-8.91,48.0,1
1.0,9.3,-8.91,72.0,0
5.0,9.3,-8.91,72.0,0
10.0,9.3,-8.91,72.0,0
25.0,9.3,-8.91,72.0,0
75.0,9.3,-8.91,72.0,1
100.0,9.3,-8.91,72.0,1
250.0,9.3,-8.91,72.0,1
1.0,36.0,-8.91,24.0,0
5.0,36.0,-8.91,24.0,0
10.0,36.0,-8.91,24.0,0
25.0,36.0,-8.91,24.0,0
75.0,36.0,-8.91,24.0,0
100.0,36.0,-8.91,24.0,0
250.0,36.0,-8.91,24.0,0
1.0,36.0,-8.91,48.0,0
5.0,36.0,-8.91,48.0,0
10.0,36.0,-8.91,48.0,0
25.0,36.0,-8.91,48.0,0
75.0,36.0,-8.91,48.0,1
100.0,36.0,-8.91,48.0,1
250.0,36.0,-8.91,48.0,1
1.0,36.0,-8.91,72.0,0
5.0,36.0,-8.91,72.0,0
10.0,36.0,-8.91,72.0,0
25.0,36.0,-8.91,72.0,0
75.0,36.0,-8.91,72.0,1
100.0,36.0,-8.91,72.0,1
250.0,36.0,-8.91,72.0,1
1.0,40.0,-8.91,24.0,0
5.0,40.0,-8.91,24.0,0
10.0,40.0,-8.91,24.0,0
25.0,40.0,-8.91,24.0,0
75.0,40.0,-8.91,24.0,0
100.0,40.0,-8.91,24.0,0
250.0,40.0,-8.91,24.0,0
1.0,40.0,-8.91,48.0,0
5.0,40.0,-8.91,48.0,0
10.0,40.0,-8.91,48.0,0
25.0,40.0,-8.91,48.0,1
75.0,40.0,-8.91,48.0,1
100.0,40.0,-8.91,48.0,1
250.0,40.0,-8.91,48.0,1
1.0,40.0,-8.91,72.0,0
5.0,40.0,-8.91,72.0,0
10.0,40.0,-8.91,72.0,0
25.0,40.0,-8.91,72.0,0
75.0,40.0,-8.91,72.0,1
100.0,40.0,-8.91,72.0,1
250.0,40.0,-8.91,72.0,1
1.0,28.9,-8.91,24.0,0
5.0,28.9,-8.91,24.0,0
10.0,28.9,-8.91,24.0,0
25.0,28.9,-8.91,24.0,0
75.0,28.9,-8.91,24.0,0
100.0,28.9,-8.91,24.0,0
250.0,28.9,-8.91,24.0,1
1.0,28.9,-8.91,48.0,0
5.0,28.9,-8.91,48.0,0
10.0,28.9,-8.91,48.0,0
25.0,28.9,-8.91,48.0,0
75.0,28.9,-8.91,48.0,1
100.0,28.9,-8.91,48.0,1
250.0,28.9,-8.91,48.0,1
1.0,28.9,-8.91,72.0,0
5.0,28.9,-8.91,72.0,0
10.0,28.9,-8.91,72.0,0
25.0,28.9,-8.91,72.0,1
75.0,28.9,-8.91,72.0,1
100.0,28.9,-8.91,72.0,1
